# Table of selected background quantities
# All densities are multiplied by (8piG/3) (below, shortcut notation (.) for this factor) 
# Densities are in units [Mpc^-2] while all distances are in [Mpc]. 
# The units of phi, tau in the derivatives and the potential V are the following:
# --> phi is given in units of the reduced Planck mass m_Pl = (8 pi G)^(-1/2)
# --> tau in the derivative of V(phi) is given in units of Mpc.
# --> the potential V(phi) is given in units of m_Pl^2/Mpc^2.
#    1:z                      2:proper time [Gyr]      3:conf. time [Mpc]       4:H [1/Mpc]              5:comov. dist.           6:ang.diam.dist.         7:lum. dist.             8:comov.snd.hrz.         9:(.)rho_g              10:(.)rho_b              11:(.)rho_cdm            12:(.)rho_ur             13:(.)rho_crit           14:(.)Omega_m            15:(.)Omega_r            16:(.)rho_scf            17:(.)p_scf              18:(.)p_prime_scf        19:phi_scf               20:phi'_scf              21:V_scf                 22:V'_scf                23:V''_scf               24:w_scf                 25:Omega_scf             26:(.)rho_tot            27:(.)p_tot              28:(.)p_tot_prime        29:gr.fac. D             30:gr.fac. f          
       8.065578922741e+13       1.162045263290e-25       5.748006515205e-09       1.403372089259e+22       1.372907495785e+04       1.702180970437e-10       1.107329376088e+18       3.318196363124e-09       1.164451092389e+44       1.305964025187e+33       7.005618373824e+33       8.050021284391e+43       1.969453220911e+44       4.220248701904e-11       9.999999999578e-01       4.623635231664e+04      -4.623125070600e+04      -2.662967425931e+09      -4.583040000000e+00       4.850413198663e-14       1.387014045340e+05      -8.772247059828e+05       5.548056181354e+06      -9.998896623461e-01       2.347674563971e-40       1.969453220911e+44       6.564844069427e+43      -4.569005660037e+52       1.145980401062e-05       1.398641300212e+00 
       7.979346461238e+13       1.187297327513e-25       5.809852154925e-09       1.373524433344e+22       1.372907495785e+04       1.720576368572e-10       1.095490456810e+18       3.354055971617e-09       1.115445515164e+44       1.264522454263e+33       6.783312226711e+33       7.711238537489e+43       1.886569368994e+44       4.265856752072e-11       9.999999999573e-01       4.623619299806e+04      -4.623141002458e+04      -2.469950757214e+09      -4.583040000000e+00       4.747252059134e-14       1.387014045340e+05      -8.772247059828e+05       5.548056181354e+06      -9.998965534752e-01       2.450807998792e-40       1.886569368994e+44       6.288564563044e+43      -4.329927078597e+52       1.163209033161e-05       1.377925611362e+00 
       7.894035946874e+13       1.213098136925e-25       5.871697794646e-09       1.344311593079e+22       1.372907495785e+04       1.739170565000e-10       1.083778112346e+18       3.390303113390e-09       1.068502323054e+44       1.224395930129e+33       6.568060420900e+33       7.386713361536e+43       1.807173659286e+44       4.311957686518e-11       9.999999999569e-01       4.623604363023e+04      -4.623155939241e+04      -2.290924283799e+09      -4.583040000000e+00       4.646285004977e-14       1.387014045340e+05      -8.772247059828e+05       5.548056181354e+06      -9.999030142403e-01       2.558472640007e-40       1.807173659286e+44       6.023912197359e+43      -4.103358564413e+52       1.180437665260e-05       1.357814618537e+00 
       7.809637522728e+13       1.239459616143e-25       5.935362423770e-09       1.315720066869e+22       1.372907495785e+04       1.757965708126e-10       1.072190989432e+18       3.426941976500e-09       1.023534721195e+44       1.185542722997e+33       6.359639104142e+33       7.075845730907e+43       1.731119294361e+44       4.358556831824e-11       9.999999999564e-01       4.623590359163e+04      -4.623169943101e+04      -2.124873971170e+09      -4.583040000000e+00       4.547465371233e-14       1.387014045340e+05      -8.772247059828e+05       5.548056181354e+06      -9.999090715159e-01       2.670867556167e-40       1.731119294361e+44       5.770397647618e+43      -3.888645513540e+52       1.197666297359e-05       1.338282225773e+00 
       7.726141437266e+13       1.266393948921e-25       5.999027052894e-09       1.287736640280e+22       1.372907495785e+04       1.776963969574e-10       1.060727749272e+18       3.463976794261e-09       9.804595674597e+43       1.147922427268e+33       6.157831527590e+33       6.778060871876e+43       1.658265654720e+44       4.405659572133e-11       9.999999999559e-01       4.623577229959e+04      -4.623183072305e+04      -1.970859283860e+09      -4.583040000000e+00       4.450747485440e-14       1.387014045340e+05      -8.772247059828e+05       5.548056181354e+06      -9.999147504986e-01       2.788200561712e-40       1.658265654720e+44       5.527552182158e+43      -3.685167574952e+52       1.214894929459e-05       1.319303817392e+00 
       7.643538043208e+13       1.293913583771e-25       6.064510671422e-09       1.260348379931e+22       1.372907495785e+04       1.796167544433e-10       1.049387067384e+18       3.501411845740e-09       9.391972187335e+43       1.111495919518e+33       5.962427820390e+33       6.492808199900e+43       1.588478038794e+44       4.453271349774e-11       9.999999999555e-01       4.623564920780e+04      -4.623195381484e+04      -1.828007858103e+09      -4.583040000000e+00       4.356086646523e-14       1.387014045340e+05      -8.772247059828e+05       5.548056181354e+06      -9.999200748118e-01       2.910688601203e-40       1.588478038794e+44       5.294926795745e+43      -3.492336858217e+52       1.232123561558e-05       1.300856154508e+00 
       7.561817796419e+13       1.322031239723e-25       6.129994289950e-09       1.233542627512e+22       1.372907495785e+04       1.815578651519e-10       1.038167633447e+18       3.539251456246e-09       8.996713836576e+43       1.076225317807e+33       5.773224771428e+33       6.219560301621e+43       1.521627413888e+44       4.501397665893e-11       9.999999999550e-01       4.623553380410e+04      -4.623206921854e+04      -1.695510560637e+09      -4.583040000000e+00       4.263439104144e-14       1.387014045340e+05      -8.772247059828e+05       5.548056181354e+06      -9.999250666040e-01       3.038558150445e-40       1.521627413888e+44       5.072091379399e+43      -3.309596234961e+52       1.249352193657e-05       1.282917280096e+00 
       7.480971254804e+13       1.350759912199e-25       6.197296897881e-09       1.207306993937e+22       1.372907495785e+04       1.835199533621e-10       1.027068151147e+18       3.577499997830e-09       8.618089815724e+43       1.042073942288e+33       5.590025617996e+33       5.957811959714e+43       1.457590177610e+44       4.550044081086e-11       9.999999999545e-01       4.623542560830e+04      -4.623217741434e+04      -1.572616905612e+09      -4.583040000000e+00       4.172762038443e-14       1.387014045340e+05      -8.772247059828e+05       5.548056181354e+06      -9.999297466408e-01       3.172045635222e-40       1.457590177610e+44       4.858633925146e+43      -3.136417729205e+52       1.266580825756e-05       1.265466431811e+00 
       7.400989077217e+13       1.380112879013e-25       6.262780516408e-09       1.181629353621e+22       1.372907495785e+04       1.855032457772e-10       1.016087338034e+18       3.616161889794e-09       8.255400073962e+43       1.009006277058e+33       5.412639841168e+33       5.707079218778e+43       1.396247929338e+44       4.599216216041e-11       9.999999999540e-01       4.623532417021e+04      -4.623227885243e+04      -1.458630803734e+09      -4.583040000000e+00       4.084013540265e-14       1.387014045340e+05      -8.772247059828e+05       5.548056181354e+06      -9.999341343910e-01       3.311397868438e-40       1.396247929338e+44       4.654159764247e+43      -2.972300991933e+52       1.283809457855e-05       1.248483961825e+00 
       7.321862022383e+13       1.410103706522e-25       6.331902113743e-09       1.156497838867e+22       1.372907495785e+04       1.875079715499e-10       1.005223925363e+18       3.655241599197e-09       7.907974021903e+43       9.769879332232e+32       5.240882967671e+33       5.466898490527e+43       1.337487251305e+44       4.648919752189e-11       9.999999999535e-01       4.623522906775e+04      -4.623237395488e+04      -1.352906619534e+09      -4.583040000000e+00       3.997152591827e-14       1.387014045340e+05      -8.772247059828e+05       5.548056181354e+06      -9.999382481080e-01       3.456872506458e-40       1.337487251305e+44       4.458290837477e+43      -2.816771855477e+52       1.301038089954e-05       1.231951263032e+00 
